name	version	top_level_modules	requires_dist
pytz	2026.2	pytz	
PyWavelets	1.8.0		numpy<3,>=1.23||scipy>=1.9; extra == "optional"
PyYAML	6.0.3	_yaml;yaml	
roifile	2025.12.12	roifile	numpy||matplotlib; extra == "all"||tifffile; extra == "all"
scikit-image	0.25.2		numpy>=1.24||scipy>=1.11.4||networkx>=3.0||pillow>=10.1||imageio!=2.35.0,>=2.33||tifffile>=2022.8.12||packaging>=21||lazy-loader>=0.4||meson-python>=0.16; extra == "build"||ninja>=1.11.1.1; extra == "build"||Cython>=3.0.8; extra == "build"||pythran>=0.16; extra == "build"||numpy>=2.0; extra == "build"||spin==0.13; extra == "build"||build>=1.2.1; extra == "build"||pooch>=1.6.0; extra == "data"||pre-commit; extra == "developer"||ipython; extra == "developer"||tomli; python_version < "3.11" and extra == "developer"||sphinx>=8.0; extra == "docs"||sphinx-gallery[parallel]>=0.18; extra == "docs"||numpydoc>=1.7; extra == "docs"||sphinx-copybutton; extra == "docs"||matplotlib>=3.7; extra == "docs"||dask[array]>=2023.2.0; extra == "docs"||pandas>=2.0; extra == "docs"||seaborn>=0.11; extra == "docs"||pooch>=1.6; extra == "docs"||tifffile>=2022.8.12; extra == "docs"||myst-parser; extra == "docs"||intersphinx-registry>=0.2411.14; extra == "docs"||ipywidgets; extra == "docs"||ipykernel; extra == "docs"||plotly>=5.20; extra == "docs"||kaleido==0.2.1; extra == "docs"||scikit-learn>=1.2; extra == "docs"||sphinx_design>=0.5; extra == "docs"||pydata-sphinx-theme>=0.16; extra == "docs"||PyWavelets>=1.6; extra == "docs"||pytest-doctestplus; extra == "docs"||SimpleITK; extra == "optional"||astropy>=5.0; extra == "optional"||cloudpickle>=1.1.1; extra == "optional"||dask[array]>=2023.2.0; extra == "optional"||matplotlib>=3.7; extra == "optional"||pooch>=1.6.0; extra == "optional"||pyamg>=5.2; extra == "optional"||PyWavelets>=1.6; extra == "optional"||scikit-learn>=1.2; extra == "optional"||asv; extra == "test"||numpydoc>=1.7; extra == "test"||pooch>=1.6.0; extra == "test"||pytest>=8; extra == "test"||pytest-cov>=2.11.0; extra == "test"||pytest-localserver; extra == "test"||pytest-faulthandler; extra == "test"||pytest-doctestplus; extra == "test"
scikit-learn	1.7.2		numpy>=1.22.0||scipy>=1.8.0||joblib>=1.2.0||threadpoolctl>=3.1.0||numpy>=1.22.0; extra == "build"||scipy>=1.8.0; extra == "build"||cython>=3.0.10; extra == "build"||meson-python>=0.17.1; extra == "build"||numpy>=1.22.0; extra == "install"||scipy>=1.8.0; extra == "install"||joblib>=1.2.0; extra == "install"||threadpoolctl>=3.1.0; extra == "install"||matplotlib>=3.5.0; extra == "benchmark"||pandas>=1.4.0; extra == "benchmark"||memory_profiler>=0.57.0; extra == "benchmark"||matplotlib>=3.5.0; extra == "docs"||scikit-image>=0.19.0; extra == "docs"||pandas>=1.4.0; extra == "docs"||seaborn>=0.9.0; extra == "docs"||memory_profiler>=0.57.0; extra == "docs"||sphinx>=7.3.7; extra == "docs"||sphinx-copybutton>=0.5.2; extra == "docs"||sphinx-gallery>=0.17.1; extra == "docs"||numpydoc>=1.2.0; extra == "docs"||Pillow>=8.4.0; extra == "docs"||pooch>=1.6.0; extra == "docs"||sphinx-prompt>=1.4.0; extra == "docs"||sphinxext-opengraph>=0.9.1; extra == "docs"||plotly>=5.14.0; extra == "docs"||polars>=0.20.30; extra == "docs"||sphinx-design>=0.5.0; extra == "docs"||sphinx-design>=0.6.0; extra == "docs"||sphinxcontrib-sass>=0.3.4; extra == "docs"||pydata-sphinx-theme>=0.15.3; extra == "docs"||sphinx-remove-toctrees>=1.0.0.post1; extra == "docs"||towncrier>=24.8.0; extra == "docs"||matplotlib>=3.5.0; extra == "examples"||scikit-image>=0.19.0; extra == "examples"||pandas>=1.4.0; extra == "examples"||seaborn>=0.9.0; extra == "examples"||pooch>=1.6.0; extra == "examples"||plotly>=5.14.0; extra == "examples"||matplotlib>=3.5.0; extra == "tests"||scikit-image>=0.19.0; extra == "tests"||pandas>=1.4.0; extra == "tests"||pytest>=7.1.2; extra == "tests"||pytest-cov>=2.9.0; extra == "tests"||ruff>=0.11.7; extra == "tests"||mypy>=1.15; extra == "tests"||pyamg>=4.2.1; extra == "tests"||polars>=0.20.30; extra == "tests"||pyarrow>=12.0.0; extra == "tests"||numpydoc>=1.2.0; extra == "tests"||pooch>=1.6.0; extra == "tests"||conda-lock==3.0.1; extra == "maintenance"
scipy	1.15.2		numpy<2.5,>=1.23.5||pytest; extra == "test"||pytest-cov; extra == "test"||pytest-timeout; extra == "test"||pytest-xdist; extra == "test"||asv; extra == "test"||mpmath; extra == "test"||gmpy2; extra == "test"||threadpoolctl; extra == "test"||scikit-umfpack; extra == "test"||pooch; extra == "test"||hypothesis>=6.30; extra == "test"||array-api-strict<2.1.1,>=2.0; extra == "test"||Cython; extra == "test"||meson; extra == "test"||ninja; sys_platform != "emscripten" and extra == "test"||sphinx<8.0.0,>=5.0.0; extra == "doc"||intersphinx_registry; extra == "doc"||pydata-sphinx-theme>=0.15.2; extra == "doc"||sphinx-copybutton; extra == "doc"||sphinx-design>=0.4.0; extra == "doc"||matplotlib>=3.5; extra == "doc"||numpydoc; extra == "doc"||jupytext; extra == "doc"||myst-nb; extra == "doc"||pooch; extra == "doc"||jupyterlite-sphinx>=0.16.5; extra == "doc"||jupyterlite-pyodide-kernel; extra == "doc"||mypy==1.10.0; extra == "dev"||typing_extensions; extra == "dev"||types-psutil; extra == "dev"||pycodestyle; extra == "dev"||ruff>=0.0.292; extra == "dev"||cython-lint>=0.12.2; extra == "dev"||rich-click; extra == "dev"||doit>=0.36.0; extra == "dev"||pydevtool; extra == "dev"
segment-anything	1.0	segment_anything	matplotlib ; extra == 'all'||pycocotools ; extra == 'all'||opencv-python ; extra == 'all'||onnx ; extra == 'all'||onnxruntime ; extra == 'all'||flake8 ; extra == 'dev'||isort ; extra == 'dev'||black ; extra == 'dev'||mypy ; extra == 'dev'
setuptools	83.0.0	_distutils_hack;setuptools	pytest!=8.1.*,>=6; extra == "test"||virtualenv>=13.0.0; extra == "test"||wheel>=0.44.0; extra == "test"||pip>=19.1; extra == "test"||packaging>=24.2; extra == "test"||jaraco.envs>=2.2; extra == "test"||pytest-xdist>=3; extra == "test"||jaraco.path>=3.7.2; extra == "test"||build[virtualenv]>=1.0.3; extra == "test"||filelock>=3.4.0; extra == "test"||ini2toml[lite]>=0.14; extra == "test"||tomli-w>=1.0.0; extra == "test"||pytest-timeout; extra == "test"||pytest-perf; sys_platform != "cygwin" and extra == "test"||jaraco.develop>=7.21; (python_version >= "3.9" and sys_platform != "cygwin") and extra == "test"||pytest-home>=0.5; extra == "test"||pytest-subprocess; extra == "test"||pyproject-hooks!=1.1; extra == "test"||jaraco.test>=5.5; extra == "test"||sphinx>=3.5; extra == "doc"||jaraco.packaging>=9.3; extra == "doc"||rst.linker>=1.9; extra == "doc"||furo; extra == "doc"||sphinx-lint; extra == "doc"||jaraco.tidelift>=1.4; extra == "doc"||pygments-github-lexers==0.0.5; extra == "doc"||sphinx-favicon; extra == "doc"||sphinx-inline-tabs; extra == "doc"||sphinx-reredirects; extra == "doc"||sphinxcontrib-towncrier; extra == "doc"||sphinx-notfound-page<2,>=1; extra == "doc"||pyproject-hooks!=1.1; extra == "doc"||towncrier<24.7; extra == "doc"||packaging>=24.2; extra == "core"||more_itertools>=8.8; extra == "core"||jaraco.text>=3.7; extra == "core"||importlib_metadata>=6; python_version < "3.10" and extra == "core"||tomli>=2.0.1; python_version < "3.11" and extra == "core"||wheel>=0.43.0; extra == "core"||jaraco.functools>=4; extra == "core"||more_itertools; extra == "core"||pytest-checkdocs>=2.14; extra == "check"||pytest-ruff>=0.2.1; sys_platform != "cygwin" and extra == "check"||ruff>=0.13.0; sys_platform != "cygwin" and extra == "check"||pytest-cov; extra == "cover"||pytest-enabler>=3.4; extra == "enabler"||pytest-mypy>=1.0.1; platform_python_implementation != "PyPy" and extra == "type"||mypy==1.18.*; extra == "type"||importlib_metadata>=7.0.2; python_version < "3.10" and extra == "type"||jaraco.develop>=7.21; sys_platform != "cygwin" and extra == "type"
shapely	2.1.2	shapely	numpy>=1.21||pytest; extra == "test"||pytest-cov; extra == "test"||scipy-doctest; extra == "test"||numpydoc==1.1.*; extra == "docs"||matplotlib; extra == "docs"||sphinx; extra == "docs"||sphinx-book-theme; extra == "docs"||sphinx-remove-toctrees; extra == "docs"
